dataset,question,ground_truth,prediction,em,f1,latency_ms,model
squad,Who chose her as number one on his list of Best singers/ Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post chose her as number one on his list of the Five Best Singer/Dancers.,0,0.1818,7593,gemini
squad,Who chose her as number one on his list of Best singers/ Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post placed Beyoncé at number one on his list of the Five Best Singer/Dancers.,0,0.1818,7593,gpt41mini
squad,Who chose her as number one on his list of Best singers/ Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post chose Beyoncé as number one on his list of the Five Best Singer/Dancers.,0,0.1818,7593,llama31
squad,How has L.A. Reid described her?,greatest entertainer alive,The provided context does not mention how L.A. Reid described Beyoncé.,0,0.0000,4223,gemini
squad,How has L.A. Reid described her?,greatest entertainer alive,The provided context does not include any information about how L.A. Reid has described Beyoncé.,0,0.0000,4223,gpt41mini
squad,How has L.A. Reid described her?,greatest entertainer alive,There is no information in the given context about L.A. Reid describing Beyoncé.,0,0.0000,4223,llama31
squad,How does Alice Jones describe her?,she's almost too good,The provided context does not mention how Alice Jones describes her.,0,0.0000,4325,gemini
squad,How does Alice Jones describe her?,she's almost too good,"The provided context does not include any information about Alice Jones or how she describes anyone. Therefore, there is no available answer to the question based on the given context.",0,0.0000,4325,gpt41mini
squad,How does Alice Jones describe her?,she's almost too good,There is no mention of Alice Jones in the provided context.,0,0.0000,4325,llama31
squad,Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post.,0,0.4444,4091,gemini
squad,Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post placed Beyoncé at number one on her list of the Five Best Singer/Dancers.,0,0.1818,4091,gpt41mini
squad,Who has Beyoncé at number one on her Five Best Singer/Dancers?,Jarett Wieselman,Jarett Wieselman of the New York Post has Beyoncé at number one on his list of the Five Best Singer/Dancers.,0,0.1818,4091,llama31
squad,Who has said that Beyoncé is the best entertainer alive?,L.A. Reid,The ex-President of Def Jam L.A. Reid has described Beyoncé as the greatest entertainer alive.,0,0.2353,5194,gemini
squad,Who has said that Beyoncé is the best entertainer alive?,L.A. Reid,"The ex-President of Def Jam, L.A. Reid, has described Beyoncé as the greatest entertainer alive.",0,0.2353,5194,gpt41mini
squad,Who has said that Beyoncé is the best entertainer alive?,L.A. Reid,"The ex-President of Def Jam, L.A. Reid, has described Beyoncé as the greatest entertainer alive.",0,0.2353,5194,llama31
squad,Beyonce self proclaimed alter ego is named what?,Sasha Fierce,Beyoncé's alter-ego is named Sasha Fierce.,0,0.5000,5414,gemini
squad,Beyonce self proclaimed alter ego is named what?,Sasha Fierce,Beyoncé's self-proclaimed alter ego is named Sasha Fierce.,0,0.4000,5414,gpt41mini
squad,Beyonce self proclaimed alter ego is named what?,Sasha Fierce,Sasha Fierce.,1,1.0000,5414,llama31
squad,Her alter ego was born when according to Beyonce?,"making of ""Crazy in Love""","Her alter-ego Sasha Fierce was born with her third album, ""I Am... Sasha Fierce"" (2008).",0,0.0000,27236,gemini
squad,Her alter ego was born when according to Beyonce?,"making of ""Crazy in Love""","Her alter ego, Sasha Fierce, was born with the release of her third album, I Am... Sasha Fierce (2008).",0,0.0833,27236,gpt41mini
squad,Her alter ego was born when according to Beyonce?,"making of ""Crazy in Love""","Her alter-ego Sasha Fierce was born when Beyoncé released her third album, I Am... Sasha Fierce (2008).",0,0.0000,27236,llama31
squad,What year did Beyonce do away with Sasha Fierce?,2010,"The provided context states that her alter-ego Sasha Fierce was born with the album *I Am... Sasha Fierce* (2008). However, the context does not mention a year when Beyoncé did away with Sasha Fierce.",0,0.0000,8651,gemini
squad,What year did Beyonce do away with Sasha Fierce?,2010,"The provided context does not explicitly state the year Beyoncé did away with her alter-ego Sasha Fierce. However, it mentions that Sasha Fierce was introduced in her third album, I Am... Sasha Fierce, released in 2008. It also notes that her subsequent albums, including her fourth album 4 (2011) and her fifth album Beyoncé (2013), do not mention Sasha Fierce, with the fifth album being noted for its experimental production and exploration of darker themes. 

Based on this information, it can be inferred that Beyoncé moved away from the Sasha Fierce persona sometime after 2008 and before or by the release of her 2013 album. Therefore, the year she likely did away with Sasha Fierce is around or before 2013.",0,0.0000,8651,gpt41mini
squad,What year did Beyonce do away with Sasha Fierce?,2010,"The text does not explicitly state that Beyoncé ""did away"" with Sasha Fierce. However, it can be inferred that Sasha Fierce was an alter-ego created for Beyoncé's third album, I Am... Sasha Fierce (2008). Since there is no mention of Sasha Fierce after the release of Beyoncé's fifth studio album, Beyoncé (2013), it can be assumed that Sasha Fierce was not a part of Beyoncé's sixth album or later releases. However, the text does not provide a specific year when Beyoncé ""did away"" with Sasha Fierce.",0,0.0000,8651,llama31
squad,Beyonce brought back Sasha Fierce during which event?,Revel Presents: Beyoncé Live,"The provided context states that the album *I Am... Sasha Fierce* formally introduces Beyoncé's alter ego Sasha Fierce. It does not mention an event where Sasha Fierce was ""brought back.""",0,0.0000,6869,gemini
squad,Beyonce brought back Sasha Fierce during which event?,Revel Presents: Beyoncé Live,"Beyoncé brought back Sasha Fierce during the release of her third studio album, I Am... Sasha Fierce.",0,0.0952,6869,gpt41mini
squad,Beyonce brought back Sasha Fierce during which event?,Revel Presents: Beyoncé Live,"The text does not explicitly mention an event where Beyoncé brought back Sasha Fierce. However, based on the context, Beyoncé introduced her alter ego Sasha Fierce with the release of her third studio album ""I Am... Sasha Fierce"" in 2008.",0,0.0455,6869,llama31
squad,How does she describe Sasha?,"too aggressive, too strong",Sasha is described as her alter-ego.,0,0.0000,4810,gemini
squad,How does she describe Sasha?,"too aggressive, too strong","She describes Sasha as her alter-ego, which was introduced with her third album, I Am... Sasha Fierce (2008).",0,0.0000,4810,gpt41mini
squad,How does she describe Sasha?,"too aggressive, too strong",She describes Sasha as her alter-ego.,0,0.0000,4810,llama31
hotpot,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,"Based on the provided context, the ages of Glenn Hughes (as a person) and Ross Lynch are not mentioned. Therefore, it is not possible to determine who is older.",0,0.1290,4118,gemini
hotpot,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,"The provided context does not include any information about Glenn Hughes or Ross Lynch, so it is not possible to determine who is older based on the given information.",0,0.1290,4118,gpt41mini
hotpot,Who is older Glenn Hughes or Ross Lynch?,Glenn Hughes,"I couldn't find any information on a person named ""Ross Lynch"" or ""Glenn Hughes"" in the provided context.",0,0.2000,4118,llama31
hotpot,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","The provided context does not contain information about the creator of the current arrangement of ""The Simpson's Theme"" or their birth year.",0,0.0000,7919,gemini
hotpot,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","The context does not provide information about the birth year of the creator of the current arrangement of the ""Simpson's Theme."" Therefore, based on the provided information, the answer cannot be determined.",0,0.0000,7919,gpt41mini
hotpot,"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?","March 28, 1941","Unfortunately, there is no information provided about the creator of the current arrangement of the 'Simpsons Theme', nor is there any information about the creator's birth year.",0,0.0000,7919,llama31
hotpot,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,"The provided context does not contain information about the Southern Railway running from Vienna to Graz and the border with Slovenia at Spielfeld, nor does it mention the type of track used by the first mountain railway built in Europe.",0,0.0465,12431,gemini
hotpot,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,"The provided context does not contain any information about the Southern Railway, the route from Vienna to Graz to Spielfeld, or the type of track used by the first mountain railway built in Europe. Therefore, based on the provided context, an answer cannot be given.",0,0.0417,12431,gpt41mini
hotpot,The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,standard gauge track,"There is no information in the provided context that mentions the Southern Railway, its route, or the type of track used.",0,0.0833,12431,llama31
hotpot,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"I am sorry, but the provided context does not contain any information about Cynthia Nixon or the awards she received. Therefore, I cannot answer your question.",0,0.0667,4595,gemini
hotpot,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"The provided context does not mention Cynthia Nixon or any awards she received, including the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series or a Screen Actors Guild Award. Therefore, based on the given information, it is not possible to answer the question.",0,0.0392,4595,gpt41mini
hotpot,In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,Sex and the City,"This answer cannot be determined based on the provided context, as Cynthia Nixon's award is not mentioned anywhere in the text.",0,0.0800,4595,llama31
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"The provided context does not contain information about Lee Jun-fan or ""The Green Hornet"" television series.",0,0.0000,12860,gemini
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"The provided context does not mention Lee Jun-fan or his role in ""The Green Hornet"" television series. Therefore, based on the given information, the answer cannot be determined.",0,0.0000,12860,gpt41mini
hotpot,"Lee Jun-fan played what character in ""The Green Hornet"" television series?",Kato,"There is no information in the provided text about Lee Jun-fan playing a character in ""The Green Hornet"" television series.",0,0.0000,12860,llama31
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 44.284745368s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '44s'}]}}]",0,0.0000,17681,gemini
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,"Based on the provided context, Everton's Goodison Park football stadium is located in Walton, Liverpool, which is in England.",0,0.1000,17681,gpt41mini
hotpot,"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",England,There is no information provided to answer this question. The context provided does not mention the 1895/96 Football League season or Everton's stadium.,0,0.0000,17681,llama31
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 21.941199807s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '21s'}]}}]",0,0.0000,23180,gemini
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"The Estadio Único is owned by the Argentine government. Therefore, the stadium known as Estadio Único, where Coldplay's A Head Full of Dreams Tour had its first show, is owned by the Argentine government.",0,0.0526,23180,gpt41mini
hotpot,"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",Province of Buenos Aires,"There is no information in the provided context about A Head Full of Dreams Tour, but it is mentioned that the album ""A Head Full of Dreams (2015)"" by Coldplay, had the track ""Hymn for the Weekend"" which featured Beyoncé.

However, there is information about the album, but it does not mention the tour. 

If you would like to know about the stadium, the context does not provide information about a stadium named Estadio Unico or the owner of that stadium.",0,0.0235,23180,llama31
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 3.387607185s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '3s'}]}}]",0,0.0000,17427,gemini
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"Roger Avary wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, which was directed by Robert Zemeckis.",0,0.1667,17427,gpt41mini
hotpot,"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",Robert Zemeckis,"Unfortunately, the information about Roger Avary is not provided in the context. However, based on the information provided in the context, the director of the 2007 film ""Beowulf"" is not explicitly mentioned. 

However, according to general knowledge, Robert Zemeckis directed the 2007 film ""Beowulf"".",0,0.0870,17427,llama31
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 46.051497989s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '46s'}]}}]",0,0.0000,21491,gemini
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"Based on the provided context, the American Pre-Code comedy film featuring an American actress, dancer, and singer widely known for performing in films and RKO's musical films is ""Kid Millions,"" which was released in 1934. 

(Note: This information is not explicitly stated in the provided context, but since the question refers to an American Pre-Code comedy with an American actress/dancer/singer known for RKO musicals—a category that fits ""Kid Millions"" and others from that era—it aligns with common knowledge surrounding that film. However, the provided context does not mention ""Kid Millions"" directly or the year 1934.)

Since the context does not mention this film or its release year, an exact answer based only on the context cannot be provided.",0,0.0000,21491,gpt41mini
hotpot,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,"However, the text does not directly mention the name of the film or the American actress. But it does mention the American actress, dancer, and singer who was associated with musical theatre, but has also appeared extensively on television, Carol Lawrence.",0,0.0000,21491,llama31
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,"[Gemini error: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash\nPlease retry in 23.76456023s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.5-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '23s'}]}}]",0,0.0000,17977,gemini
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,"The provided context does not contain any information about the song ""Just the Two of Us,"" Donna Weiss, Jackie DeShannon, or the number of weeks a song they wrote and composed spent at No. 1 on the Billboard Hot 100 chart. Therefore, based on the provided context, the answer cannot be determined.",0,0.0000,17977,gpt41mini
hotpot,"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",nine,There is no information about a song written by Donna Weiss and Jackie DeShannon that spent weeks at No. 1 on the Billboard hot 100 chart in the provided context.,0,0.0000,17977,llama31
